YEAR,DRAW_NO,NO1,NO2,NO3,NO4,NO5,NO6,SPECIAL_NO
2017,141,7,14,19,27,28,38,46
2017,140,4,10,32,35,38,47,49
2017,139,6,8,9,23,36,30,19
2017,138,5,13,16,28,40,41,2
2017,137,3,4,30,37,39,42,32
2017,136,8,27,30,35,36,43,31
2017,135,19,24,26,30,36,41,43
2017,134,3,8,20,34,40,46,24
2017,133,1,15,20,28,33,43,18
2017,132,12,16,22,28,36,37,45
2017,131,3,32,36,46,48,49,29
2017,130,3,18,19,35,38,40,48
2017,129,23,30,32,33,43,44,28
2017,128,5,18,20,32,36,40,7
2017,127,21,26,29,35,45,49,41
2017,126,7,16,18,22,26,44,9
2017,125,4,5,20,29,35,38,36
2017,124,1,8,9,16,29,42,49
2017,123,8,16,18,30,43,45,27
2017,122,8,12,19,24,28,49,37
2017,121,2,4,19,30,35,47,25
2017,120,1,6,8,11,12,16,41
2017,119,6,17,22,26,32,45,24
2017,118,3,6,24,38,45,48,5
2017,117,10,16,22,23,26,46,25
2017,116,1,8,19,22,35,46,30
2017,115,2,11,19,20,33,49,6
2017,114,7,18,24,26,39,45,44
2017,113,2,10,19,27,31,33,16
2017,112,1,13,22,25,30,36,4
